left_title,left_category,left_brand,left_modelno,left_price,right_title,right_category,right_brand,right_modelno,right_price,label,match_probability,action
quantum mr-s4mqn-01 dlttape s4 cartridge,mp3 accessories,quantum,mr-s4mqn-01,97.88,quantum super dlttape ii 300 600gb tape cartridge,data cartridges,quantum,mr-s2mqn-01,75.33,0,0.1463,flag-review
gear head 2.4 ghz wireless optical nano mouse black,mice,gear head,mp2800blk,15.82,gear head 2.4 ghz wireless optical nano mouse - purple black usb mp2950pur-cp10,mice,gear head,mp2950pur-cp10,14.99,0,0.1463,flag-review
3m dry-erase board porcelain 8 x4 aluminum frame,stationery & office machinery,3m,,707.59,acco brands inc. 2548 magnetic dry-erase board porcelain 96 x 48 white aluminum frame,audio video accessories,kensington,,566.81,0,0.1463,flag-review
da-lite da-glas self trimming rear projection screen - 96 x 120 av format,electronics - general,da-lite,27915,7443.99,da-lite 27673 da-glas self trimming rear projection screen - 96 x 96 av format,projection screens,da-lite,,,0,0.1463,flag-review
corsair builder series cx v2 500w 80 plus certified power supply,electronics - general,corsair,cmpsu-500cxv2,67.88,corsair builder series cx600 600 watt 80 plus certified power supply compatible with intel and amd platforms atx 700 cmpsu-600cxv2,power supplies,corsair,cmpsu-600cxv2,65.84,0,0.1463,flag-review
evga geforce 8400 gs 1gb ddr3 pci express 2.0 graphics card,electronics - general,evga,01g-p3-1302-lr,44.99,evga geforce gt 430 1 gb ddr3 pci-express 2.0 graphics card 01g-p3-1430-lr,graphics cards,evga,01g-p3-1430-lr,55.65,0,0.1463,flag-review
lathem time 900e electronic time recorder automatic,stationery & office machinery,,900e,239.94,900e electronic time recorder - automatic sold individuall,printer accessories,lathem,,230.0,1,0.1463,flag-review
pc treasures wireless optical mouse 2.4 ghz purple,mice,pc treasures,07227,17.82,wireless optical mouse,mice,micro innovations,pdopt15w,18.92,0,0.1463,flag-review
epson 1500 hours 200w uhe projector lamp elplp12,monitors,epson,elplp12,438.84,epson replacement lamp - 200w uhe projector lamp - 2000 hour high brightness mode 3000 hour low brightness mode,,epson,v13h010l33,268.7,0,0.1463,flag-review
microsoft lifecam hd-6000 usb hd webcam 7pd-00001,electronics - general,microsoft,7pd-00001,36.97,microsoft lifecam hd-5000 720p hd webcam black,webcams,microsoft,7nd-00001,32.5,0,0.1463,flag-review
kingston kth-mlg4 2g 2gb ddr2 240-pin sdram server memory module,memory,kingston,kth-mlg4 / 2g,55.92,2gb ddr2 sdram memory module,computers accessories,lenovo,73p4985,61.97,0,0.1463,flag-review
canon powershot a3300 is black 16.0 mp digital camera with 5x optical zoom 3.0 lcd 720p video w 50 bonus prints,digital cameras,canon,5035b001aa,156.54,canon powershot a3300 16 mp digital camera with 5x optical zoom black,point shoot digital cameras,canon,5035b001,159.0,1,0.1463,flag-review
microsoft comfort optical mouse 3000 silver blue,mice,microsoft,d1t00011,19.95,microsoft comfort optical mouse 3000,mice,microsoft,d1t-00002,9.09,0,0.1463,flag-review
gear head 2.4 ghz wireless optical nano mouse black,mice,gear head,mp2800blk,15.82,gear head 2.4 ghz wireless optical nano mouse - red black usb mp2750red-cp10,mice,gear head,mp2750red-cp10,13.66,0,0.1463,flag-review
viewsonic pocket camcorder projector,camcorders,viewsonic,3dv5,129.98,viewsonic dvp5 pico pocket projector with camcorder,video projectors,viewsonic,dpv5,315.63,0,0.1463,flag-review
birdhouse tony hawk 2gb ptero skatedrive usb flash drive,usb drives,ep memory,bh-skthpt/2g,9.84,birdhouse tony hawk 16gb bonepile skatedrive usb flash drive,usb flash drives,action,,,0,0.1463,flag-review
seagate freeagent goflex 500gb usb 2.0 ultra-portable hard drive black,hard drives,seagate,9zf2a2-570,71.07,seagate freeagent goflex 500 gb usb 2.0 ultra-portable external hard drive staa500100 black,external hard drives,seagate,staa500100,62.99,1,0.1463,flag-review
belkin shield micra for ipod touch tint,mp3 accessories,belkin,f8z646ttc01,47.88,belkin ipod touch shield micra tint-royal purple,cases,belkin,f8z646ttc02,12.49,0,0.1463,flag-review
cooler master atx centurion 534 tower black,electronics - general,coolermaster,centurion534bk,56.25,cooler master centurion 5 atx mid tower case silver - cac-t05-uw,computer cases,cooler master,cac-t05-uw,54.99,0,0.1463,flag-review
pny 2gb sd memory card,usb drives,pny,p-sd2gb-fs,6.98,pny optima 2gb sd class 4 flash memory card p-sd2gb-ef,memory cards,pny,p-sd2gb-ef,3.97,1,0.1463,flag-review
mach speed cartunes max range fm transmitter mp3 player,mp3,mach speed,cartunesmax,29.99,mach speed cartunes max fm transmitter,universal fm cassette adapters,mach speed,mp3-cartunes max,21.99,1,0.1463,flag-review
kodak easyshare m530 red 12mp digital camera w 3x optical zoom 2.7 lcd w 50 bonus prints,digital cameras,kodak,m530 red,99.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera carbon black,point shoot digital cameras,kodak,,99.95,0,0.1463,flag-review
belkin shield micra for ipod touch tint,mp3 accessories,belkin,f8z646ttc01,47.88,belkin ipod touch shield micra tint-coral,cases,belkin,f8z646ttc03,12.49,0,0.1463,flag-review
wilson jones d-ring vinyl view binder,stationery & office machinery,wilson jones,38544b,16.4,new-wilson jones 38654w - basic d-ring vinyl view binder 4 capacity white - wlj38654w,projection screens,wilson jones,,33.0,0,0.1463,flag-review
v7 10 cat5e snagless network patch cable blue,electronics - general,v7,v7n3c5e-10f-blus,4.88,v7 cat5e snagless molded network patch cable rj45 male to male blue 1-foot v7n3c5e-01f-blus,ethernet cables,v7,v7n3c5e-01f-blus,1.19,0,0.1463,flag-review
v7 4gb sd card class 6 high capacity sdhc 4 gb,usb drives,v7,vasdh4gcl6r-1n,7.98,v7 4gb sd card secure digital high capacity 4 gb memory card,memory cards,v7,vasdh4gcl4r-1n,9.99,0,0.1463,flag-review
redi-tag arrow message page flags in dispenser blue 120 flags,stationery & office machinery,,81034,5.15,redi-tag 81024 - arrow message page flags in dispenser sign here red 120 flags dispenser,printers,redi-tag,,,0,0.1463,flag-review
stanley bostitch 00540 antijam extra heavy-duty stapler 215-sheet capacity black,stationery & office machinery,stanley bostitch,540,65.0,new-stanley bostitch 03201 - antijam desktop heavy-duty stapler 60-sheet capacity black - bos03201,printer staples,stanley,,54.55,0,0.1463,flag-review
green onions supply iveil hybrid keyboard protector,electronics - general,green onions supply,rt-kbhb06,31.88,green onions supply iveil hybrid keyboard protector for 11-inch apple macbook air rt-kbhb08,keyboards,green,rt-kbhb08,29.0,0,0.1463,flag-review
case logic 10 tablet sleeve black,electronics - general,case logic,lapst110black,16.0,case logic lapst-107 6 - 7-inch tablet e-book reader sleeve black,cases sleeves,case logic,lapst-107black,10.59,0,0.1463,flag-review
gear head wireless optical tilt-wheel mouse red,mice,gear head,mpt3200red,19.88,gear head 2.4 ghz wireless desktop and optical mouse kb5150w,keyboard mouse combos,gear head,kb5150w,24.99,0,0.1463,flag-review
jvc inner-ear sports clip earbuds violet,electronics - general,jvc,haebx5v,19.95,new-inner-ear sports clip earbuds - red - dq2349,headphones,jvc,,21.0,0,0.1463,flag-review
ihome app-friendly rechargeable speaker system for ipad iphone ipod,electronics - general,ihome,id9s,99.99,new ihome idm12b ipad tm iphone r ipod r rechargeable portable bluetooth r speaker system,computers accessories,ihome,,80.99,0,0.1463,flag-review
paperpro desktop ecostapler 20 sheet capacity,stationery & office machinery,,1710,20.88,new-paperpro 1188 - pink ribbon desktop stapler 20-sheet capacity black pink - aci1188,computer accessories,paperpro,,40.16,0,0.1463,flag-review
comprehensive 1 4 standard phone plug to 3-pin xlr jack set of 10,tv accessories,comprehensive,spp-xlrj,79.9,comprehensive premium - audio adapter - mini-phone 3.5 mm m - 3 pin xlr f,connectors adapters,comprehensive video,,,1,0.1463,flag-review
microsoft expression studio v 4.0 ultimate upgrade version,software,microsoft,nkf-00001,338.0,microsoft expression studio 4 ultimate,computer accessories,microsoft,nkf-00008,547.99,0,0.1463,flag-review
eaton 3s750 ups 750va,electronics - general,eaton,3s750,86.88,eaton 3s ups 750va 5-15p 10 5-15r 5-up,audio video accessories,eaton,,84.06,1,0.1463,flag-review
storex portable file storage box w organizer lid black,storage,,61510u01c,25.0,storex 61511u01c - portable file storage box w organizer lid letter legal clear,laminating supplies,storex,,,0,0.1463,flag-review
sanus powerbridge in wall power and cable management,electronics - general,sanus,,84.99,sanus systems elm805-w1 power bridge in-wall power and cable management white,,sanus,elm805-w1,72.0,0,0.1463,flag-review
panasonic kx-tga6645b dect 6.0 plus expandable digital cordless answering system with 5 handsets,electronics - general,panasonic,kx-tg6645b,150.0,panasonic dect 6.0 expandable cordless phone with talking caller id answering system - 4 handset pack,cordless telephones,panasonic,,132.68,0,0.1463,flag-review
belkin pro series 6 usb 2.0 5-pin min-b cable,electronics - general,belkin,f3u138-06,6.07,belkin f3u138-10 pro series 10-foot usb 2.0 5-pin mini-b cable,usb cables,belkin,f3u138-10,5.25,0,0.1463,flag-review
crown cushion-step rubber mat 36 x 72 marbleized black,home care,crown,cu3672bk,194.97,crown cu3672gy - cushion-step mat rubber 36 x 72 marbleized gray,networking products,crown,,,0,0.1463,flag-review
wausau paper astrobrights colored paper 24lb 8-1 2 x 11 planetary purple 500 sheets ream,stationery & office machinery,wausau paper,22621,10.27,wausau paper 32542 - exact colored paper 20lb 8-1 2 x 14 yellow 500 sheets ream,,wausau,,11.63,0,0.1463,flag-review
elite screens maxwhite vmax2 plus2 series ezelectric motorized screen - 135 diagonal in white case,electronics - general,elite screens,vmax135xwh2,729.99,maxwhite vmax2 plus2 series 116.5 overall height ezelectric motorized screen - 135 diagonal in white case,projection screens,elite,,594.0,0,0.1463,flag-review
quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame,stationery & office machinery,quartet,2305,91.44,acco brands inc. 2366 enclosed bulletin board natural cork fiberboard 72 x 36 aluminum frame,audio video accessories,kensington,,620.69,0,0.1463,flag-review
canon mp41dhii printing calculator,stationery & office machinery,canon,mp41dhii,70.88,canon mp27d printing calculator 6995a001ab,printing,canon,6995a001ab,55.71,0,0.1463,flag-review
diaper dude eco green ipad case,electronics - general,diaper dude,207491,25.0,diaper dude eco black ipad case digi-ipadpetblk100,laptop netbook computer accessories,diaper dude,digi-ipadpetblk100,25.0,0,0.1463,flag-review
epson t020201 color ink cartridge,printers,epson,t020201,27.0,epson t001011 color inkjet cartridge,inkjet printer ink,epson,t001011,26.95,0,0.1463,flag-review
sharpie retractable fine point permanent markers,stationery & office machinery,sharpie,32760,5.99,new-sharpie 37001 - permanent markers ultra fine point black dozen - san37001,shredders,sharpie,,27.07,0,0.1463,flag-review
avery worksaver big tab plastic dividers two slash pockets eight-tab assorted,stationery & office machinery,avery,11907,5.88,avery 11907 - worksaver big tab plastic dividers two slash pockets 8-tab assorted,,avery,,12.0,1,0.1075,flag-review
