label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,match_probability,action
0,editor 's notes,,,2001,editor 's notes,dw leslie,"new directions for higher education ,",,0.129,flag-review
0,"panel : future directions of database research - the vldb broadening strategy , part 2",m brodie,vldb,2000,future directions of database research,"hj schek , ml brodieâ ? ¦","vldb , cairo ,",,0.129,flag-review
0,keynote address,,,1995,keynote address,t bailey,"women in aviation international conference , reno , nv , march ,",,0.129,flag-review
0,fast incremental maintenance of approximate histograms,"p gibbons , y matias , v poosala",acm trans . database syst .,2002,"gibbons , . matias , and v. poosala . fast incremental maintenance of approximate histograms",pb gmp,proceedings of the international conference on very large,,0.129,flag-review
0,"high-dimensional index structures , database support for next decade 's applications ( tutorial )","s berchtold , d keim",sigmod conference,1998,an index structure for high-dimensional data,"s berchtold , da keim , hp kriegel","procs . of the 22nd vldb conference ,",,0.129,flag-review
0,query rewriting for semistructured data,"y papakonstantinou , v vassalos",sigmod conference,1999,generating query forms and reports for semistructured data : the qursed editor,"y papakonstantinou , m petropoulos , v vassalos",,,0.129,flag-review
0,semantic caching of web queries,"b chidlovskii , u borghoff",vldb j.,2000,optimizing web queries through semantic caching,"b chidlovskii , c roncancio , ml schneider",,,0.129,flag-review
0,an algebraic approach to static analysis of active database rules,"e baralis , j widom",acm trans . database syst .,2000,an algebraic approach to rule analysis in expert database systems,"e baralis , j widom","proceedings of the international conference on very large & hellip ; ,",1994.0,0.129,flag-review
0,the ccube constraint object-oriented database system,"a brodsky , v segal , j chen , p exarkhopoulo",sigmod conference,1999,the o 2 object-oriented database system,f bancilhon,proceedings of the 1992 acm sigmod-international conference,,0.129,flag-review
0,lore : a lightweight object repository for semistructured data,"d quass , j widom , r goldman , k haas , q luo , j mchugh , s nestorov , a rajaraman , h rivero , s abiteboul , j ullman , j wiener",sigmod conference,1996,lore : a database management system for semistructured data,"s abiteboul , j mchugh , d quass , j widom , r goldman","sigmod record ,",,0.129,flag-review
0,guest editor 's introduction,,,2003,guest editor 's introduction : new vlsi tools,"dd gajski , r kuhn","ieee computer ,",,0.129,flag-review
0,balancing push and pull for data broadcast,"s acharya , m franklin , s zdonik",sigmod conference,1997,data staging for ondemand broadcast,"d aksoy , m franklin , s zdonik","& hellip ; of the 27th international conference on very large data & hellip ; ,",,0.129,flag-review
0,efficient algorithms for mining outliers from large data sets,"s ramaswamy , r rastogi , k shim",sigmod conference,2000,cure : an efficient clustering algorithm for large data databases,"s guha , r rastogi , k shim","proc . of the acm sigmod ,",,0.129,flag-review
0,"research and practice in federated information systems , report of the efis ' 2000 international workshop",,,2000,engineering federated information systems : report of efis '99 workshop .,acms anthology,"sigmod record ,",1999.0,0.129,flag-review
0,guest editorial,,,2003,guest editorial,aw czarnik,"acc . chem . res ,",,0.129,flag-review
0,approximate query processing using wavelets,"k chakrabarti , m garofalakis , r rastogi , k shim",vldb j.,2001,approximate query processing : taming the terabytes,"mn garofalakis , pb gibbon","proceedings of the 27th international conference on very & hellip ; ,",2001.0,0.129,flag-review
1,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,srikant . fast algorithmsformining association rules,r agrawal andr,"proceedings of the 20th international conference on very & hellip ; ,",,0.129,flag-review
1,automation in information extraction and data integration,,,2002,automation in information extraction and data integration,s sarawagi,"vldb ,",,0.129,flag-review
1,index concurrency control in firm real-time database systems,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,1995,index concurrency control in firm real-time databases,sr narayanan,,1997.0,0.129,flag-review
0,disima : a distributed and interoperable image database system,"v oria , m жzsu , p iglinski , s lin , b yao",sigmod conference,2000,building an interoperable distributed image database management system,b yao,,,0.129,flag-review
0,editor 's notes,,,1997,editor 's notes,sb merriam,"new directions for adult and continuing education ,",,0.129,flag-review
0,an overview of data warehousing and olap technology,"s chaudhuri , u dayal",sigmod record,1997,"decision support , data warehousing and olap , 1996","s chaudhuri , u dayal","vldb tutorial , bombay ,",,0.129,flag-review
0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,mining quantitative association rules in large relation tables,"r sirkant , r agrawal","proceedings of acm sigmod conference of management of data ,",,0.129,flag-review
0,guest editor 's introduction,,,1998,guest editor 's introduction,wc newstetter,journal of the learning,,0.129,flag-review
0,lore : a lightweight object repository for semistructured data,"d quass , j widom , r goldman , k haas , q luo , j mchugh , s nestorov , a rajaraman , h rivero , s abiteboul , j ullman , j wiener",sigmod conference,1996,j. wid om . lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass","sigmod record ,",,0.129,flag-review
0,data mining : concepts and techniques - book review,"f galiano , n marэn",sigmod record,2002,data mining : concepts and techniques by jiawei han and micheline kamber,"f berzal , n matãn","acm sigmod record ,",2002.0,0.129,flag-review
0,keynote address,,,1995,keynote address,p brown,"european conference on hypertext ( paris , 1990 ) , cambridge & hellip ; ,",,0.129,flag-review
0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,privacy preserving of association rules,"r agrawal , r srikant , a evfimievski , j gehrke","proceeding of 8th acm sigmod conference on knowledge & hellip ; ,",,0.129,flag-review
0,keynote address,,,1995,keynote address,t berners-lee,seventh international world wide web conference,,0.129,flag-review
0,editor 's notes,,,2001,editor 's notes,r diem,"social studies and the young learner ,",,0.129,flag-review
0,on the computation of multidimensional aggregates,"s agarwal , r agrawal , p deshpande , a gupta , j naughton , r ramakrishnan , s sarawagi",vldb,1996,storage estimation for multidimensional aggregates in the presence of hierarchies,"a shukla , p deshpande","vldb ,",1996.0,0.129,flag-review
0,converting relational to object-oriented databases,j fong,sigmod record,1997,translating update operations from relational to object-oriented databases,"pm reppert , fd morgan , mn toksoz , x zhang , j fong","information and software technology ,",2000.0,0.129,flag-review
1,data placement in shared-nothing parallel database systems,"m mehta , d dewitt",vldb j.,1997,data placement in shared-nothing parallel database systems,s padmanabhan,,1992.0,0.129,flag-review
0,editor 's notes,,,1997,editor 's notes,te cyrs,"new directions for teaching and learning ,",,0.129,flag-review
0,"ratio rules : a new paradigm for fast , quantifiable data mining","f korn , a labrinidis , y kotidis , c faloutsos",vldb,1998,quantifiable data mining using ratio rules,"f korn , a labrinidis , y kotidis , c faloutsos","the vldb journal the international journal on very large & hellip ; ,",2000.0,0.1176,flag-review
0,query decomposition and view maintenance for query languages for unstructured data,d suciu,vldb,1996,a query languageand optimizationtechnieques for unstructured data,"p buneman , s davidson , g hillebrand , d suciu",proceedings of the acm sigmod international conference on,,0.1176,flag-review
0,privacy-preserving data mining,"r agrawal , r srikant",sigmod conference,2000,privacy-preserving data mining : developments and directions,b thuraisingham,journal of database,,0.1176,flag-review
0,"o-o , what have they done to db2 ?","m carey , d chamberlin , s narayanan , b vance , d doole , s rielau , r swagerman , n mattos",vldb,1999,"oo , what 's happening to db2 ?","m carey , d chamberlin","proc . acm sigmod int &#39; l conf . management of data ,",1999.0,0.1176,flag-review
0,exploratory mining via constrained frequent set queries,"r ng , l lakshmanan , j han , t mah",sigmod conference,1999,optimization of constrained frequent set queries : 2-var constraints,"lvs lakshmanan , r ng , j han , a pang",3rd sigmodâ ?? 98 workshop on research issues in data mining,,0.1176,flag-review
0,retrieval of composite multimedia objects,"s chaudhuri , s ghandeharizadeh , c shahabi",vldb,1995,on scheduling atomic and composite multimedia objects,"c shahabi , s ghandeharizadeh , s chaudhuri",,,0.1176,flag-review
0,approximate xml joins,"s guha , h jagadish , n koudas , d srivastava , t yu",sigmod conference,2002,approximate joins : concepts and techniques,"n koudas , d srivastava","proceedings of the 31st international conference on very & hellip ; ,",2005.0,0.1176,flag-review
0,wrapper generation for semi-structured internet sources,"n ashish , c knoblock",sigmod record,1997,hierarchical wrapper induction for semistructured information sources,"i muslea , s minton , ca knoblock","autonomous agents and multi-agent systems ,",2001.0,0.1176,flag-review
0,disima : a distributed and interoperable image database system,"v oria , m жzsu , p iglinski , s lin , b yao",sigmod conference,2000,disima distributed image database system : experiences and reflections,"m tamerozsu , v oria , pj iglinski",,,0.1176,flag-review
0,odefs : a file system interface to an object-oriented database,"n gehani , h jagadish , w roome",vldb,1994,event specification in an object-oriented database,"nh gehani , hv jagadish , o shmueli",proceedings international conference on management of,,0.1176,flag-review
0,querying multi-dimensional data indexed using the hilbert space-filling curve,"j lawder , p king",sigmod record,2001,using space-filling curves for multi-dimensional indexing,"jk lawder , pjh king",,,0.1176,flag-review
0,data integration and warehousing in telecom italia,"s trisolini , m lenzerini , d nardi",sigmod conference,1999,enterprise modeling and data warehousing in telecom italia,"d calvanese , l dragone , d nardi , r rosati , sm",,,0.1176,flag-review
1,orthogonally persistent object systems,"m atkinson , r morrison",vldb j.,1995,"mp and morris on , r. 1995 . orthogonally persistent systems",on atkins,the vldb,,0.1176,flag-review
0,integration of data mining with database technology,"a netz , s chaudhuri , j bernhardt , u fayyad",vldb,2000,integrating data mining with sql database : ole db fro data mining,"a netz , s chaudhuri , u fayyad , j bernhardt",microsoft,,0.1176,flag-review
0,optimization techniques for queries with expensive methods,j hellerstein,acm trans . database syst .,1998,predicate migration : optimizing queries with expensive predicates,jm hellerstein,,,0.1176,flag-review
0,efficient view maintenance at data warehouses,"d agrawal , a abbadi , a singh , t yurek",sigmod conference,1997,the lord of the rings : efficient maintenance of views at data warehouses,"d agrawal , a mostefaoui , m raynal , m roy",,,0.1176,flag-review
0,"data-driven , one-to-one web site generation for data-intensive applications","s ceri , p fraternali , s paraboschi",vldb,1999,design principles for data-intensive web sites,"s ceri , p fraternali , s paraboschi","sigmod record ,",1999.0,0.0847,flag-review
0,closest pair queries in spatial databases,"a corral , y manolopoulos , y theodoridis , m vassilakopoulos",sigmod conference,2000,algorithms for processing k-closest-pair queries in spatial databases,"a corral , y manolopoulos , y theodoridis , m","data & knowledge engineering ,",2004.0,0.0847,flag-review
0,"semi-automatic , self-adaptive control of garbage collection rates in object databases","j cook , a klauser , a wolf , b zorn",sigmod conference,1996,effectively controlling garbage collection rates in object databases,"j cook , a klauser , a wolf , b zorn",,,0.0847,flag-review
0,mining quantitative association rules in large relational tables,"r srikant , r agrawal",sigmod conference,1996,fast algorithms for mining association rules in large datab as es,"r agrawal , r srikant","proceedings of the 20th international conference on very & hellip ; ,",,0.0847,flag-review
0,"lh * - a scalable , distributed data structure","w litwin , m neimat , d schneider",acm trans . database syst .,1996,scalable distributed data structure,ddsa lh,,,0.0847,flag-review
0,distance browsing in spatial databases,"g hjaltason , h samet",acm trans . database syst .,1999,incremental distance join algorithms for spatial databases,grhh samet,proc . of the acm sigmod,,0.0847,flag-review
0,archiving scientific data,"p buneman , s khanna , k tajima , w tan",sigmod conference,2002,optical archiving for scientific data,b lowrey,,,0.0847,flag-review
0,lineage tracing for general data warehouse transformations,"y cui , j widom",vldb,2001,lineage tracing in a data warehousing system,"d proposal , y cui , j widom",,,0.0847,flag-review
1,qc-trees : an efficient summary structure for semantic olap,"l lakshmanan , j pei , y zhao",sigmod conference,2003,quotient cube and qc-tree : efficient summarizations for semantic olap,y zhao,,2003.0,0.0847,flag-review
0,exploratory mining via constrained frequent set queries,"r ng , l lakshmanan , j han , t mah",sigmod conference,1999,optimization of constrained frequent set queries with 2-variable constraints,"lvs laksmanan , rt ng , j han , a pang","proc . acm sigmod ( philadelphia , pennsylvania ,",,0.0847,flag-review
0,influence sets based on reverse nearest neighbor queries,"f korn , s muthukrishnan",sigmod conference,2000,on reverse nearest neighbor queries,"a maheshwari , j vahrenhold , n zeh",,,0.0847,flag-review
0,guest editorial,,,2002,guest editorial,"pa bernstein , y ioannidis , r ramakrishnan","the vldb journal the international journal on very large & hellip ; ,",2003.0,0.0847,flag-review
0,architecture of oracle parallel server,"r bamford , d butler , b klots , n macnaughton",vldb,1998,â ?? the oracle parallel server architecture,i lloyd,proceedings,,0.0847,flag-review
1,carnot and infosleuth : database technology and the world wide web,"d woelk , w bohrer , n jacobs , k ong , c tomlinson , c unnikrishnan",sigmod conference,1995,carnot and infosleuth-database technology and the www . acm sigmod intern . conf . on management of,"n jacobs , r shea","proc . acm sigmod intern . conf . on management of data ,",,0.0847,flag-review
0,the tv-tree : an index structure for high-dimensional data,"k lin , h jagadish , c faloutsos",vldb j.,1994,"the x-tree : an index structure for higher dimensional data , in `` proc","s berchtold , da keim , hp kriegel","22th vldb conference ,",,0.0847,flag-review
0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,fastalgorithmsformining association rules,rar srikant,"proc . of the vldb conference , santiago , chile , september ,",,0.0847,flag-review
0,state of the art in workflow management research and products,,,1996,state of the art of commercial technology and research in workflow management,a sheth,,,0.0847,flag-review
0,spatial operators,"e clementini , p felice",sigmod record,2000,scalability of spatial operators,"h kemppainen , j albrecht","gis lis-international conference - ,",,0.0847,flag-review
0,"research and practice in federated information systems , report of the efis ' 2000 international workshop",,,2000,engineering federated information systems : report of efis '99 workshop,"s conrad , w hasselbring , u hohenstein , rd kutsche ,","sigmod record ,",1999.0,0.0847,flag-review
0,irisnet : an architecture for internet-scale sensing services,"s nath , a deshpande , y ke , p gibbons , b karp , s seshan",vldb,2003,iris : internet-scale resource-intensive sensor services,"a deshpande , s nath , pb gibbons , s seshan",,,0.0847,flag-review
0,congressional samples for approximate answering of group-by queries,"s acharya , p gibbons , v poosala",sigmod conference,2000,join synopses for approximate query answering,"s acharya , pb gibbons",,,0.0847,flag-review
0,optimization of constrained frequent set queries with 2-variable constraints,"l lakshmanan , r ng , j han , a pang",sigmod conference,1999,exploratory mining via constrained frequent set queries,"r ng , lvs lakshmanan , j han , t mah","sigmod conference ,",1999.0,0.0847,flag-review
0,pbir - perception-based image retrieval,"e chang , t cheng , l chang",sigmod conference,2001,for image retrieval,"e chang , s tong",,,0.0847,flag-review
0,an overview of repository technology,"p bernstein , u dayal",vldb,1994,an overview of data warehousing and olap technology,"sc cd971 , u dayal","sigmod record , vol26 ( 1 ) ,",,0.0847,flag-review
0,editor 's notes,,,1997,editors ' notes,"c knapper , s piccinin","new directions for teaching and learning ,",,0.0847,flag-review
0,dynamic buffer allocation in video-on-demand systems,"s lee , k whang , y moon , i song",sigmod conference,2001,dynamic buffer management for near video-on-demand systems,"wj tsai , sy lee","multimedia tools and applications ,",1998.0,0.0847,flag-review
0,calls for papers and announcements,,sigmod record,1995,ispp announcements,igs complimentary,,,0.0847,flag-review
0,quorum consensus in nested transaction systems,"k goldman , n lynch",acm trans . database syst .,1994,data replication in nested transaction systems,kj goldman,"massachusetts institute of technology , cambridge , ma ,",1987.0,0.0847,flag-review
0,an overview of data warehousing and olap technology,"s chaudhuri , u dayal",sigmod record,1997,an overview of repository technology,"pa bernstein , u dayal","vldb ,",1994.0,0.0847,flag-review
0,evolution of groupware for business applications : a database perspective on lotus domino/notes,"c mohan , r barber , s watts , a somani , m zaharioudakis",vldb,2000,a database perspective on lotus domino/notes,c mohan,"sigmod conference ,",1999.0,0.0847,flag-review
0,peer-to-peer : harnessing the power of disruptive technologies,m nascimento,sigmod record,2003,"peer-to-peer : harnessing the power of disruptive technologies , chapter 8",g kan,,2001.0,0.0847,flag-review
0,"proceedings of the 2000 acm sigmod international conference on management of data , may 16-18 , 2000 , dallas , texas , usa",,,2000,source international conference on management of data archive,"s mehrotra , t sellis","proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0,0.0847,flag-review
0,continuous queries over data streams,"s babu , j widom",sigmod record,2001,continuously adaptive continuous queries over streams,"j hellerstein , s madden , v raman , m shah","proc . 2002 acm sigmod conf ,",,0.0847,flag-review
0,birch : an efficient data clustering method for very large databases,"t zhang , r ramakrishnan , m livny",sigmod conference,1996,cure : an efficient clustering algorithm for large databases,"g sudipto , r rastogi , k shim","proceedings of acm sigmod international conference on & hellip ; ,",,0.0847,flag-review
0,languages for multi-database interoperability,"f gingras , l lakshmanan , i subramanian , d papoulis , n shiri",sigmod conference,1997,andi . n. subramanian . schemasql-a languagefor interoperabilityin relationalmulti-database systems,"l lakshmanan , f sadri","proc . vldb conf ,",,0.0847,flag-review
0,fast parallel similarity search in multimedia databases,"s berchtold , c bіhm , b braunmќller , d keim , h kriegel",sigmod conference,1997,adaptable similarity search in large image databases,"t seidl , hp kriegel",,,0.0847,flag-review
0,"data mining using two-dimensional optimized accociation rules : scheme , algorithms , and visualization","t fukuda , y morimoto , s morishita , t tokuyama",sigmod conference,1996,data mining with optimized two-dimensional association rules,"t fukuda , y morimoto , s morishita , t tokuyama","acm transactions on database systems ,",2001.0,0.0847,flag-review
0,the algres testbed of chimera : an active object-oriented database system,"s ceri , p fraternali , s paraboschi , g psaila",sigmod conference,1995,"the architecture of an active , object-oriented database system","d mccarthy , u dayal","proc . 1989 acm-sigmod conference on management of data , & hellip ; ,",,0.0847,flag-review
0,report on first international workshop on real-time database systems,,,1996,special issue on real-time database systems,sh son,"acm sigmod record ,",,0.0847,flag-review
0,the design of an acquisitional query processor for sensor networks,"s madden , m franklin , j hellerstein , w hong",sigmod conference,2003,query processing in sensor networks,"j gehrke , s madden",,,0.0847,flag-review
0,energy-performance trade-offs for spatial access methods on memory-resident data,"n an , s gurumurthi , a sivasubramaniam , n vijaykrishnan , m kandemir , m irwin",vldb j.,2002,analyzing energy behavior of spatial access methods for memory-resident data,"n an , a sivasubramaniam , n vijaykrishnan , m","proceedings of the international conference on very large & hellip ; ,",2001.0,0.0847,flag-review
0,efficient retrieval of similar shapes,"d rafiei , a mendelzon",vldb j.,2002,feature-based retrieval of similar shapes,"r mehrotra , je gary",,,0.0847,flag-review
0,query decomposition and view maintenance for query languages for unstructured data,d suciu,vldb,1996,a query language and optimization techniques for unstructured dataâ '' in sigmod,"p buneman , s davidson , g hillebrand , d suciu","san diego ,",,0.0847,flag-review
0,investigation of algebraic query optimisation techniques for database programming languages,"a poulovassilis , c small",vldb,1994,formal foundations for optimising aggregation functions in database programming languages,"a poulovassilis , c small",,,0.0847,flag-review
0,the ccube constraint object-oriented database system,"a brodsky , v segal , j chen , p exarkhopoulo",sigmod conference,1999,metu object-oriented database system,a dogacâ ? ¦,"demo description , in the proc . acm sigmod intl. conf . on & hellip ; ,",,0.0847,flag-review
0,theory of answering queries using views,a halevy,sigmod record,2000,answering sql queries using views,"s dar , hv jagadish , ay levy , d srivastava","proc . of vldb ,",,0.0847,flag-review
1,shoring up persistent applications,"m carey , d dewitt , m franklin , n hall , m mcauliffe , j naughton , d schuh , m solomon , c tan , o tsatalos , s white , m zwilling",sigmod conference,1994,"shoring up persistent applications , acm sigmod international conference on management of data","mj carey , dj dewitt , mj franklinâ ? ¦","minneapolis , minnesota . may ,",,0.0847,flag-review
0,bottom-up computation of sparse and iceberg cubes,"k beyer , r ramakrishnan",sigmod conference,1999,experiments with bottom-up computation of sparse and iceberg cubes,s greve,,2000.0,0.0847,flag-review
0,approximate query translation across heterogeneous information sources,"k chang , h garcia-molina",vldb,2000,boolean query mapping across heterogeneous information sources ( extended version ),"kcc chang , h garcia-molina , a paepcke","ieee transactions on knowledge & data engineering ,",1996.0,0.0847,flag-review
0,theory of answering queries using views,a halevy,sigmod record,2000,"answering queries using views : a survey , 2000",ay levy,,,0.0847,flag-review
0,grid data management systems & services,,,2003,data management system for grid and portal services,"p grzybowski , c mazurek , m wolski",,,0.0847,flag-review
0,further improvements on integrity constraint checking for stratifiable deductive databases,"s lee , t ling",vldb,1996,integrity constraint in deductive databases,"ra kowalski , f sadri , p soper","proceedings of the 13th vldb conference , brighton",,0.0847,flag-review
0,an overview of repository technology,"p bernstein , u dayal",vldb,1994,an overview of data warehousing and olap technology .,"s chaudhri , u dayal",,1997.0,0.0847,flag-review
0,selectivity estimation in spatial databases,"s acharya , v poosala , s ramaswamy",sigmod conference,1999,selectivity estimation for spatial joins,"n an , zy yang , a sivasubramaniam",,,0.0847,flag-review
0,vice chair 's message,,,2000,sigcas chair 's message,cd martin,"computers and society ,",,0.0847,flag-review
0,constraint databases : a tutorial introduction,j bussche,sigmod record,2000,introduction to constraint databases,pz revesz,,2002.0,0.0847,flag-review
0,mining multi-dimensional constrained gradients in data cubes,"g dong , j han , j lam , j pei , k wang",vldb,2001,"constraint-based , multidimensional data mining",j han,,,0.0847,flag-review
0,modelling and querying video data,"r hjelsvold , r midtstraum",vldb,1994,modeling and querying video databases,"c decleir , ms hacid",,,0.0847,flag-review
0,flexible support for multiple access control policies,"s jajodia , p samarati , m sapino , v subrahmanian",acm trans . database syst .,2001,a unified framework for enforcing multiple access control policies,"s jajodia , p samarati , vs subrahmanian , e bertino",,,0.0847,flag-review
0,the design of a retrieval technique for high-dimensional data on tertiary storage,"r orlandic , j lukaszuk , c swietlik",sigmod record,2002,a retrieval technique for high-dimensional data and partially specified queries,"r orlandic , b yu","data and knowledge engineering ,",2002.0,0.0847,flag-review
1,multi-dimensional resource scheduling for parallel queries,"m garofalakis , y ioannidis",sigmod conference,1996,multi-resource parallel query scheduling and optimization,"mn garofalakis , ye ioannidis",,,0.0847,flag-review
0,the query by image content ( qbic ) system,"j ashley , m flickner , j hafner , d lee , w niblack , d petkovic",sigmod conference,1995,ã cents â ? ¬ å?query by image and video content : the qbic systemã cents â ? ¬ â ?,"m flickner , h sawhney , w niblack , j ashley , q","ieee computer ,",,0.0847,flag-review
0,a multimedia presentation algebra,"s adali , m sapino , v subrahmanian",sigmod conference,1999,a multi-similarity algebra,"s adal , p bonatti , ml sapino , vs subrahmanian",,,0.0847,flag-review
0,guest editorial,,,2000,guest editor,a dogac,"acm sigmod record special section on electronic commerce ,",,0.0847,flag-review
0,an overview of repository technology,"p bernstein , u dayal",vldb,1994,an overview of data warehousing and olap technology,"u dayal , s chaudhuri","acm sigmod record ,",,0.0847,flag-review
0,managing intervals efficiently in object-relational databases,"h kriegel , m pіtke , t seidl",vldb,2000,joining interval data in relational databases,"j enderle , m hampel , t seidl","proceedings of the 2004 acm sigmod international conference & hellip ; ,",2004.0,0.0847,flag-review
0,editorial,,,2002,editorial,p smyth,"bt technology journal ,",2003.0,0.0847,flag-review
0,extracting structured data from web pages,"a arasu , h garcia-molina",sigmod conference,2003,a. crespo : extracting semistructured information from the web,"j hammer , h garcia-molina , j cho , r aranha","sigmod record ,",,0.0847,flag-review
0,middle east technical university software research and development center,a dogac,sigmod record,1996,software research and development center,"c dengi , e gokkoca , c evrendilek , p karagoz , e","sigmod record ,",1996.0,0.0847,flag-review
0,guest editor 's introduction,,,2002,guest editor 's introduction,k aberer,"acm sigmod record ,",2003.0,0.0847,flag-review
0,the lyric language : querying constraint objects,"a brodsky , y kornatzky",sigmod conference,1995,"kornatzky . ( 1995 ) . thelyric language : queringconstraintobjects . incareyandschneider , editors",a brodsky & y,proc . acm sigmod international conference on management of,,0.0847,flag-review
0,improving index performance through prefetching,"s chen , p gibbons , t mowry",sigmod conference,2001,improving performance through object fusion,"n hardavellas , s chen",,,0.0847,flag-review
0,multi-step processing of spatial joins,"t brinkhoff , h kriegel , r schneider , b seeger",sigmod conference,1994,1993 . efficient processing ofspatial joins using r-trees,"t brinkho , hp kriegel , b seeger",proc . acm sigmod int . conf . on management of,,0.0847,flag-review
0,efficiently publishing relational data as xml documents,"j shanmugasundaram , e shekita , r barr , m carey , b lindsay , h pirahesh , b reinwald",vldb,2000,xperanto : middleware for publishing object-relational data as xml documents,"mj carey , j kiernan , j shanmugasundaram , ej","vldb ,",2000.0,0.0847,flag-review
0,editor 's notes,l liu,sigmod record,2003,editor 's notes,nl smith,"new directions for program evaluation ,",1981.0,0.0847,flag-review
0,guest editor 's introduction,,,2002,guest editor 's introduction,k aberer,"acm sigmod record ,",2003.0,0.0847,flag-review
0,tracing the lineage of view data in a warehousing environment,"y cui , j widom , j wiener",acm trans . database syst .,2000,view maintenance in a warehouse environment,"y zhuge , h garcia-molina , jl wiener","acm sigmod int . conf . on management of data ,",,0.0847,flag-review
1,watermarking relational databases,"r agrawal , j kiernan",vldb,2002,"watermarking relational data : framework , algorithms and analysis","r agrawal , pj haas , j kiernan","the vldb journal the international journal on very large & hellip ; ,",2003.0,0.0847,flag-review
0,range queries in olap data cubes,"c ho , r agrawal , n megiddo , r srikant",sigmod conference,1997,rangequeriesinolapdata cubes,ct hoetal,"proceedings of the 1997 acm sigmod international conference & hellip ; ,",,0.0847,flag-review
0,a scalable algorithm for answering queries using views,"r pottinger , a levy",vldb,2000,y. sagiv answering queries using views,"ay levy , ao mendelzon","proc of the 16th acm sigact sigmod sigart symp on principles & hellip ; ,",,0.0847,flag-review
0,a performance study of transitive closure algorithms,"s dar , r ramakrishnan",sigmod conference,1994,direct transitive closure algorithms : design and performance evaluation,"r agrawal , s dar , hv jagadish","acm transactions on database systems ,",1990.0,0.0847,flag-review
0,meaningful change detection in structured data,"s chawathe , h garcia-molina",sigmod conference,1997,managing and querying changes in semi-structured data,"s chawathe , s abiteboul , j widom","proceedings of acm sigmod conference ,",,0.0847,flag-review
0,implementation of two semantic query optimization techniques in db2 universal database,"q cheng , j gryz , f koo , t leung , l liu , x qian , k schiefer",vldb,1999,query sampling in db2 universal database,"j gryz , j guo , l liu , c zuzarte","proceedings of the 2004 acm sigmod international conference & hellip ; ,",2004.0,0.0847,flag-review
0,an extendible hash for multi-precision similarity querying of image databases,"s lin , m жzsu , v oria , r ng",vldb,2001,an extendible hashing structure for image similarity searches,s lin,,,0.0847,flag-review
0,secure bufering in firm real-time database systems,"b george , j haritsa",vldb j.,2000,index concurrency control in firm real-time database systems,"b goyal , jr haritsa , s seshadri , v srinivasan","proceedings of the 21th international conference on very & hellip ; ,",1995.0,0.0847,flag-review
0,guest editorial,,,2003,guest editorial,ay halevy,"the vldb journal the international journal on very large & hellip ; ,",2002.0,0.0847,flag-review
0,an efficient cost-driven index selection tool for microsoft sql server,"s chaudhuri , v narasayya",vldb,1997,materialized view and index selection tool for microsoft sql server 2000,"s agrawal , s chaudhuri , v narasayya","sigmod conference ,",2001.0,0.0847,flag-review
0,s3 : similarity search in cad database systems,"s berchtold , h kriegel",sigmod conference,1997,fast parallel similarity search in multimedia databases,s berchtold,"sigmod conference ,",1997.0,0.0847,flag-review
0,editor 's notes,l liu,sigmod record,2003,editor 's notes,nl smith,"new directions for program evaluation ,",1981.0,0.0847,flag-review
0,the lotus notes storage system,k moore,sigmod conference,1995,the postgres storage system,m stonebraker,"proc . 1987 vldb conference , brighton , england , sept ,",,0.0847,flag-review
0,"object-relational database systems : principles , products , and challenges ( tutorial )",,,1997,active database systems ( tutorial notes ),"kr dittrich , u dayal","& hellip ; seventeenth international conference on very large databases & hellip ; ,",,0.0847,flag-review
0,editorial,,,2002,editorial,"d ralph , s searby","bt technology journal ,",2003.0,0.0847,flag-review
0,editor 's notes,l liu,sigmod record,2002,editor 's notes,nl smith,"new directions for program evaluation ,",1981.0,0.0847,flag-review
0,an extension of the relational data model to incorporate ordered domains,w ng,acm trans . database syst .,2001,an extension of sql to support ordered domains in relational databases,"w ng , m levene",,,0.0847,flag-review
0,theory of answering queries using views,a halevy,sigmod record,2000,minicon : a scalable algorithm for answering queries using views,"r pottinger , a halevy","the vldb journal the international journal on very large & hellip ; ,",2001.0,0.0847,flag-review
0,guest editorial,,,2003,guest editor,a dogac,"acm sigmod record special section on electronic commerce ,",,0.0847,flag-review
0,editor 's notes,l liu,sigmod record,2001,editor 's notes,nl smith,"new directions for program evaluation ,",1981.0,0.0847,flag-review
0,multi-dimensional database allocation for parallel data warehouses,"t stіhr , h mфrtens , e rahm",vldb,2000,warlock : a data allocation tool for parallel warehouses,"t stoehr , e rahm","vldb ,",2001.0,0.0847,flag-review
0,an authorization system for digital libraries,"e ferrari , n adam , v atluri , e bertino , u capuozzo",vldb j.,2002,an authorization system for temporal data,"a gal , v atluri , g xu",,,0.0847,flag-review
0,lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom",sigmod record,1997,management of semistructured data,d suciu,"sigmod record ,",1997.0,0.0709,flag-review
